Fecha;A02_OUT;A06_OUT;A07_OUT;A09_OUT;A10_OUT;A11_OUT;A02_IN;A06_IN;A07_IN;A09_IN;A10_IN;A11_IN
2019-12-18;0;0;2;0;0;0;0;2;0;0;0;0
2019-12-19;23;172;20;83;49;146;107;119;8;175;74;10
2019-12-20;52;186;26;54;59;173;121;131;15;204;58;21
2020-01-02;1;0;0;0;0;0;0;0;0;1;0;0
2020-01-03;0;6;0;0;0;0;6;0;0;0;0;0
2020-01-06;265;896;79;207;338;888;381;650;25;1358;182;77
2020-01-07;61;199;20;79;70;179;98;144;18;197;94;57
2020-01-08;347;313;117;332;355;565;109;1422;26;248;178;46
2020-01-09;74;346;23;81;79;218;128;228;32;213;171;49
2020-01-10;54;239;26;113;70;164;102;177;46;203;79;59
2020-01-13;75;387;24;53;72;223;107;226;25;236;196;44
2020-01-14;55;389;30;66;54;196;95;157;25;197;262;54
2020-01-15;131;582;46;96;172;298;246;328;31;297;343;80
2020-01-16;96;331;32;116;106;261;127;287;89;267;123;49
2020-01-17;93;240;38;77;97;269;182;259;9;245;87;32
2020-01-20;113;407;46;88;90;294;269;293;30;290;108;48
2020-01-21;109;382;54;79;65;222;273;233;31;230;81;63
2020-01-22;126;977;55;80;124;236;246;253;58;229;760;52
2020-01-23;74;290;49;118;90;277;223;254;27;229;132;33
2020-01-24;84;230;37;84;99;218;161;213;52;198;87;41
2020-01-27;62;199;24;70;60;197;116;191;22;195;63;25
2020-01-28;75;322;42;139;96;227;179;230;49;229;176;38
2020-01-29;116;488;51;92;71;276;155;252;47;238;345;57
2020-01-30;87;211;24;106;82;190;98;229;10;235;70;58
2020-01-31;93;355;32;97;66;227;220;227;35;247;104;37
2020-02-03;79;260;26;75;96;257;182;220;18;263;79;31
2020-02-04;83;291;24;88;76;246;134;209;25;260;98;82
2020-02-05;91;604;143;93;161;310;209;432;93;242;383;43
2020-02-06;69;302;31;95;96;284;168;241;67;236;124;41
2020-02-07;70;376;40;110;138;324;279;296;53;279;109;42
2020-02-10;73;367;44;82;110;341;141;299;59;366;110;42
2020-02-11;73;404;30;73;98;231;141;212;36;242;236;42
2020-02-12;138;271;44;81;144;259;179;297;42;238;111;70
2020-02-13;80;345;36;85;131;282;191;262;48;272;121;65
2020-02-14;137;367;42;143;103;263;181;300;50;310;174;40
2020-02-17;71;380;39;93;132;328;178;297;44;359;141;24
2020-02-18;92;553;26;47;112;252;150;225;43;293;332;39
2020-02-19;146;398;36;103;139;286;279;272;31;259;197;70
2020-02-20;107;336;50;118;123;301;285;315;65;259;73;38
2020-02-21;89;325;41;85;110;296;283;239;44;269;56;55
2020-02-24;73;515;28;97;114;369;270;268;57;318;226;57
2020-02-25;91;281;44;81;117;251;162;261;52;256;97;37
2020-02-26;82;329;24;77;171;244;234;257;62;247;85;42
2020-02-27;96;367;32;105;98;248;259;249;28;241;129;40
2020-02-28;54;442;48;88;104;293;266;217;38;285;202;21
2020-03-02;93;376;30;102;142;348;251;299;45;352;103;41
2020-03-03;59;251;23;59;98;231;115;160;34;297;81;34
2020-03-04;86;364;34;81;102;261;165;218;73;253;167;52
2020-03-05;74;336;24;59;106;276;229;194;12;281;120;39
2020-03-06;62;284;31;89;107;266;255;169;48;221;118;28
2020-03-09;89;303;41;277;119;312;214;461;20;313;90;43
2020-03-10;89;288;29;62;84;262;174;173;36;306;88;37
2020-03-11;114;509;37;59;95;259;162;169;80;326;297;39
2020-03-12;56;337;34;60;88;279;143;175;54;295;170;17
2020-03-13;108;442;37;59;100;266;191;223;40;287;235;36
2020-03-16;80;598;40;106;113;375;225;278;20;390;356;43
2020-03-17;55;404;22;45;78;179;123;127;12;226;262;33
2020-03-18;46;204;18;55;145;139;142;187;10;185;39;44
2020-03-19;53;195;20;55;43;163;104;116;21;171;91;26
2020-03-20;33;149;10;25;35;148;93;64;15;168;43;17
2020-03-23;47;193;16;41;44;175;99;137;5;176;51;48
2020-03-24;18;133;17;46;40;119;115;84;10;102;48;14
